cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
11,brown,286,482499,0.47865,0.16695,0.3347,0.14804
11,cyan,100,43296,0.35363,0.12476,0.24986,0.11928
11,gray,286,1563155,0.06613,0.06997,0.50557,0.15693
11,green,103,64025,0.29448,0.12863,0.318,0.16501
11,magenta,238,303295,0.38272,0.14728,0.11239,0.06371
11,orange,281,3704402,0.37277,0.10502,0.81915,0.09615
11,pink,251,266065,0.40577,0.15869,0.1181,0.07862
11,purple,232,397793,0.48688,0.16036,0.1457,0.09782
11,red,277,546782,0.46581,0.2434,0.23039,0.17706
11,white,266,455822,0.07968,0.06507,0.95447,0.04073
11,yellow,161,181424,0.48993,0.24444,0.77751,0.22673
12,black,293,655939,0.12387,0.05486,0.1264,0.04976
12,blue,307,3839532,0.37743,0.1258,0.61503,0.28707
12,brown,337,3257227,0.47664,0.15527,0.35294,0.13018
12,cyan,199,384039,0.30142,0.11638,0.48084,0.31328
12,gray,337,3019721,0.12151,0.05231,0.5158,0.21337
12,green,238,1570912,0.39008,0.13753,0.30765,0.14904
12,magenta,288,254645,0.28676,0.08212,0.39282,0.25615
12,orange,322,1551792,0.4424,0.13779,0.69512,0.10664
12,pink,310,521111,0.32441,0.10157,0.44056,0.28472
12,purple,286,319226,0.27347,0.07393,0.34836,0.2453
12,red,331,2353122,0.45599,0.17021,0.38647,0.19702
12,white,334,1934174,0.09042,0.0573,0.93205,0.04318
12,yellow,269,1305472,0.41539,0.11901,0.40979,0.17758
13,black,324,750602,0.10288,0.06661,0.10267,0.05941
13,blue,323,2010258,0.44705,0.18742,0.47598,0.27828
13,brown,373,3641904,0.4567,0.17392,0.34044,0.13473
13,cyan,272,355261,0.373,0.14056,0.5067,0.27243
13,gray,373,3774940,0.12628,0.04896,0.53417,0.17683
13,green,294,706769,0.35334,0.13615,0.33198,0.21351
13,magenta,322,247717,0.38098,0.17493,0.19033,0.1509
13,orange,371,2612345,0.38785,0.15102,0.72083,0.11719
13,pink,351,501827,0.38398,0.15856,0.23852,0.21242
13,purple,308,341185,0.37564,0.17894,0.23126,0.16948
13,red,374,3235627,0.49034,0.18867,0.35478,0.23247
13,white,370,811867,0.08838,0.05591,0.92985,0.04516
13,yellow,343,602658,0.37539,0.1685,0.46483,0.23304
14,black,817,438055,0.09222,0.07419,0.09568,0.06891
14,blue,857,1391492,0.47276,0.21437,0.64451,0.27582
14,brown,989,4234470,0.53235,0.16137,0.32235,0.13211
14,cyan,947,9342912,0.41879,0.15838,0.87019,0.18068
14,gray,993,4484207,0.12327,0.0509,0.60267,0.18038
14,green,979,8137413,0.45276,0.16163,0.45419,0.20579
14,magenta,499,39008,0.41032,0.22766,0.25286,0.24975
14,orange,984,3887741,0.47196,0.18701,0.79335,0.13183
14,pink,667,145672,0.51326,0.22412,0.47951,0.33282
14,purple,494,39244,0.36234,0.18297,0.31479,0.20882
14,red,923,1285111,0.60427,0.20717,0.4331,0.30818
14,white,984,5325534,0.10651,0.05643,0.96419,0.04466
14,yellow,985,6181493,0.46327,0.17714,0.58399,0.2634
15,black,1271,3258037,0.07809,0.07217,0.08728,0.06991
15,blue,1266,9482049,0.42079,0.19891,0.41953,0.27047
15,brown,1352,7812559,0.4478,0.18528,0.36099,0.12398
15,cyan,1093,2971445,0.45615,0.19591,0.56714,0.25899
15,gray,1374,14113553,0.10449,0.05681,0.5522,0.18131
15,green,1069,3264726,0.38809,0.16989,0.39098,0.19525
15,magenta,926,410775,0.47297,0.17798,0.72405,0.34701
15,orange,1203,6443121,0.43429,0.17947,0.73414,0.12347
15,pink,1022,505294,0.52132,0.23698,0.59691,0.34655
15,purple,1058,335714,0.41034,0.22077,0.26259,0.17839
15,red,1273,4708322,0.61191,0.26313,0.53366,0.24767
15,white,1137,9832035,0.03684,0.05186,0.96822,0.04578
15,yellow,1221,4156578,0.54049,0.22758,0.62303,0.26508
16,black,425,92322,0.10279,0.06631,0.11353,0.06674
16,blue,445,2104363,0.49725,0.24933,0.56163,0.25352
16,brown,440,884722,0.44482,0.19254,0.38458,0.11736
16,cyan,371,25507,0.30876,0.15279,0.41962,0.24282
16,gray,446,4202166,0.10465,0.05088,0.63738,0.15305
16,green,427,114536,0.3366,0.14904,0.41692,0.20583
16,magenta,423,49337,0.4028,0.22162,0.1908,0.15047
16,orange,444,1150771,0.36184,0.14473,0.72423,0.10155
