cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
11,pink,228,228249,0.41828,0.16272,0.11885,0.07001
11,purple,209,344244,0.47523,0.15306,0.13347,0.06392
11,red,253,491298,0.47876,0.24899,0.23136,0.17652
11,white,250,298102,0.10942,0.06009,0.94812,0.0435
11,yellow,142,176492,0.49459,0.24389,0.78316,0.22106
12,black,243,496779,0.1289,0.05044,0.13136,0.04547
12,blue,257,3516251,0.37766,0.11947,0.63668,0.28199
12,brown,288,2933668,0.488,0.15403,0.35331,0.12987
12,cyan,151,332880,0.29659,0.09542,0.49067,0.30195
12,gray,285,2252395,0.12682,0.05021,0.50135,0.21293
12,green,190,1384902,0.39186,0.13334,0.30435,0.14514
12,magenta,247,241034,0.28642,0.07787,0.40376,0.25802
12,orange,274,1300671,0.45704,0.13573,0.69341,0.10856
12,pink,267,499637,0.32546,0.1002,0.44935,0.28639
12,purple,242,288022,0.26855,0.06314,0.35969,0.25139
12,red,282,2193993,0.4636,0.16847,0.38706,0.19475
12,white,282,1473203,0.09865,0.05771,0.937,0.04284
12,yellow,220,1198309,0.41615,0.11432,0.40617,0.17631
13,black,140,300623,0.10602,0.06481,0.09869,0.0554
13,blue,134,1100894,0.4729,0.18673,0.51854,0.25389
13,brown,170,1719525,0.5347,0.17231,0.32435,0.13796
13,cyan,85,209612,0.36622,0.11031,0.47399,0.2454
13,gray,161,909336,0.12392,0.0507,0.52957,0.18745
13,green,102,327398,0.37358,0.13566,0.32074,0.22918
13,magenta,146,148905,0.37251,0.15043,0.18062,0.16002
13,orange,168,1178060,0.46892,0.15427,0.75432,0.13328
13,pink,167,364901,0.37938,0.13957,0.23639,0.23176
13,purple,125,189042,0.36823,0.15152,0.23571,0.16737
13,red,176,2532621,0.51909,0.17602,0.34678,0.24104
13,white,162,311171,0.08969,0.05795,0.94334,0.0439
13,yellow,149,269000,0.42607,0.17637,0.43779,0.24794
14,black,231,117538,0.07169,0.06726,0.0838,0.05973
14,blue,250,614886,0.49936,0.22234,0.66739,0.25238
14,brown,270,1118636,0.53825,0.15201,0.32526,0.13192
14,cyan,269,2384834,0.44518,0.18578,0.82994,0.19001
14,gray,271,1252778,0.12223,0.05006,0.61201,0.17674
14,green,269,2468487,0.47564,0.16064,0.43326,0.19601
14,magenta,143,8315,0.43606,0.22889,0.22638,0.23432
14,orange,272,900634,0.50063,0.1917,0.77454,0.12971
14,pink,179,35680,0.48999,0.19965,0.45959,0.3341
14,purple,140,6080,0.42522,0.23004,0.28159,0.24491
14,red,256,345905,0.58537,0.20648,0.46363,0.29672
14,white,269,1382967,0.10655,0.05508,0.95889,0.04605
14,yellow,270,1740860,0.49145,0.17578,0.5471,0.25212
15,black,284,821995,0.04146,0.06269,0.05294,0.0693
15,blue,285,2609014,0.52325,0.20557,0.45862,0.25816
15,brown,328,1805422,0.48707,0.18886,0.39405,0.11956
15,cyan,221,249713,0.51618,0.23208,0.67039,0.29192
15,gray,329,2382189,0.10099,0.05763,0.5737,0.19628
15,green,215,186998,0.46239,0.22176,0.38385,0.22411
15,magenta,246,35803,0.48273,0.27473,0.17873,0.16112
15,orange,304,2350239,0.42939,0.15399,0.72555,0.11675
15,pink,288,94098,0.40333,0.19639,0.26863,0.23096
15,purple,272,80085,0.56603,0.26205,0.17171,0.14915
15,red,323,2730346,0.59582,0.24553,0.51385,0.21339
15,white,282,1942211,0.0555,0.05833,0.94355,0.04656
15,yellow,269,424399,0.45671,0.19918,0.69155,0.23216
16,black,423,91731,0.10315,0.06615,0.11392,0.06654
16,blue,443,2103766,0.49721,0.24932,0.56175,0.25343
16,brown,438,882549,0.44503,0.19262,0.38448,0.11734
16,cyan,369,25115,0.30507,0.14724,0.42393,0.24143
16,gray,444,4179587,0.1045,0.05086,0.63738,0.15309
16,green,425,78520,0.32603,0.14702,0.43477,0.22351
16,magenta,421,49266,0.40236,0.22112,0.19098,0.15043
16,orange,442,1145002,0.36219,0.14494,0.72413,0.10151
16,pink,423,109820,0.35957,0.18011,0.22756,0.17574
16,purple,435,134406,0.42334,0.22801,0.2475,0.17743
16,red,441,261866,0.44585,0.23117,0.29305,0.18325
16,white,444,3629234,0.0678,0.04832,0.9393,0.04179
16,yellow,443,1230418,0.45732,0.22047,0.70667,0.20052
17,black,217,419058,0.11487,0.06201,0.10512,0.05744
17,blue,214,2210794,0.42633,0.16661,0.62479,0.26592
17,brown,240,1642183,0.46002,0.16062,0.33028,0.14625
17,cyan,154,291213,0.40934,0.19986,0.52778,0.32456
17,gray,236,1975382,0.11587,0.05266,0.5605,0.1892
17,green,171,499810,0.42344,0.18355,0.30081,0.20633
17,magenta,207,214334,0.32001,0.11827,0.26405,0.25551
17,orange,245,1055644,0.44689,0.15642,0.72277,0.11764
17,pink,227,469023,0.36331,0.13333,0.31949,0.27671
17,purple,202,275469,0.3043,0.10429,0.25029,0.20629
17,red,244,2378905,0.48704,0.18633,0.40946,0.23753
17,white,236,959700,0.09583,0.05552,0.93167,0.04355
17,yellow,204,391845,0.40179,0.16714,0.47153,0.26278
18,black,274,649658,0.1225,0.05334,0.11758,0.04609
18,blue,278,4024290,0.43198,0.15875,0.52696,0.25488
18,brown,295,1320058,0.45995,0.18841,0.31047,0.14272
18,cyan,236,492959,0.37392,0.17257,0.53012,0.28166
18,gray,294,2951966,0.11054,0.05248,0.54606,0.19436
18,green,243,474845,0.39302,0.15874,0.28831,0.17404
18,magenta,235,124323,0.29576,0.106,0.23889,0.22838
18,orange,291,778219,0.4634,0.1956,0.72497,0.11347
18,pink,264,309628,0.34182,0.11341,0.36362,0.27371
18,purple,239,258401,0.30322,0.10889,0.23759,0.23408
18,red,291,1272731,0.507,0.19175,0.3861,0.21925
18,white,286,1162890,0.08302,0.05888,0.92982,0.04382
18,yellow,275,395456,0.41827,0.17832,0.47967,0.27575
19,black,220,418659,0.09832,0.06957,0.0963,0.06073
19,blue,192,1150290,0.45724,0.22682,0.48539,0.29376
19,brown,239,1612144,0.52259,0.18318,0.34324,0.15036
19,cyan,162,122809,0.40551,0.21784,0.42844,0.32179
19,gray,238,1904090,0.0948,0.06049,0.55466,0.18297
19,green,167,124059,0.41564,0.13525,0.3265,0.2593
19,magenta,194,91651,0.37294,0.12951,0.14077,0.08529
19,orange,237,3712848,0.41721,0.13129,0.76777,0.10619
19,pink,221,130350,0.37755,0.17884,0.15323,0.11991
