cluster_k98,version,n_colors,n_chromatic,achromatic_set,count,n_train,n_val,n_test,mean_chroma,std_chroma,mean_saturation,std_saturation,mean_colorfulness
67,brown|gray|white,3,1,gray|white,2,2,0,0,11.545,0.885,0.3062,0.0035,32.06
67,gray|orange|red,3,2,gray,2,1,1,0,18.515,2.225,0.3607,0.027,44.99
67,gray|green|white,3,1,gray|white,2,2,0,0,17.155,2.755,0.2814,0.0042,49.73
67,green|red|yellow,3,3,,2,1,1,0,18.14,1.9,0.4472,0.0593,41.375
67,green,1,1,,2,1,1,0,21.765,3.465,0.5688,0.001,41.34
67,brown|gray|orange,3,2,gray,2,1,1,0,15.425,0.285,0.3355,0.0239,37.895
68,blue|magenta|purple,3,3,,2,0,0,2,40.07,0.0,0.7048,0.0,87.6
68,blue|magenta|pink,3,3,,2,2,0,0,36.69,0.0,0.6826,0.0,88.1
68,gray|purple|red,3,2,gray,2,2,0,0,17.65,0.0,0.2843,0.0,39.09
68,black|brown|gray,3,1,black|gray,2,2,0,0,8.59,0.0,0.2736,0.0,34.51
68,brown|cyan,2,2,,2,2,0,0,22.9,0.0,0.5714,0.0,108.74
68,gray|purple|white,3,1,gray|white,2,1,1,0,15.815,0.395,0.2419,0.0089,41.72
68,blue|brown|red,3,3,,2,2,0,0,17.495,0.545,0.4047,0.005,60.725
68,black|blue,2,1,black,2,0,0,2,17.32,0.0,0.3363,0.0,70.34
68,brown|gray|red,3,2,gray,2,2,0,0,12.27,0.0,0.3418,0.0,40.7
68,brown|orange|white,3,2,white,2,2,0,0,14.81,0.83,0.3076,0.0212,45.23
69,orange,1,1,,2,0,0,2,25.28,0.0,0.3864,0.0,46.05
69,black|orange|red,3,2,black,2,2,0,0,21.18,10.87,0.4073,0.1353,56.115
69,blue|orange|red,3,3,,2,1,1,0,19.21,9.06,0.4519,0.0161,56.975
69,blue|gray|orange,3,2,gray,2,2,0,0,11.76,0.0,0.2861,0.0,37.07
69,gray|white|yellow,3,1,gray|white,2,2,0,0,18.165,0.615,0.2545,0.0223,44.02
69,black|blue|gray,3,1,black|gray,2,2,0,0,9.655,1.445,0.3127,0.0083,38.02
69,orange|pink|red,3,3,,2,2,0,0,22.155,0.925,0.3894,0.0328,52.575
69,brown|red|yellow,3,3,,2,1,1,0,13.78,3.8,0.4199,0.0327,34.075
69,blue|gray,2,1,gray,2,1,0,1,14.77,0.13,0.3092,0.0134,40.555
69,cyan|gray|green,3,2,gray,2,0,1,1,18.95,2.63,0.3475,0.0287,54.05
69,cyan|green|red,3,3,,2,2,0,0,25.4,1.9,0.452,0.0212,73.745
69,orange|red|white,3,2,white,2,1,0,1,15.725,0.465,0.3102,0.0109,40.92
69,gray|orange,2,1,gray,2,1,0,1,15.325,1.065,0.3039,0.0342,40.6
69,black|brown|gray,3,1,black|gray,2,2,0,0,12.34,0.0,0.2689,0.0,38.48
70,gray|orange|red,3,2,gray,2,2,0,0,13.51,1.98,0.2893,0.0726,35.825
70,green,1,1,,2,2,0,0,19.625,4.195,0.4301,0.0579,35.96
70,black|brown|yellow,3,2,black,2,2,0,0,9.735,0.365,0.356,0.0363,33.79
70,black|gray|orange,3,1,black|gray,2,2,0,0,15.275,0.575,0.2956,0.0058,56.58
70,black|brown|green,3,2,black,2,2,0,0,10.145,0.245,0.3049,0.0061,42.44
70,blue|brown|red,3,3,,2,0,2,0,14.36,1.18,0.411,0.0054,40.555
70,gray|orange|white,3,1,gray|white,2,0,2,0,11.685,0.435,0.2183,0.0144,39.985
70,blue|brown|yellow,3,3,,2,2,0,0,14.875,0.125,0.3049,0.0011,37.93
70,gray|orange,2,1,gray,2,1,1,0,17.72,1.75,0.301,0.0155,48.915
70,gray|red,2,1,gray,2,1,0,1,17.085,3.065,0.3861,0.0886,34.075
71,black|gray|orange,3,1,black|gray,2,1,0,1,20.675,5.245,0.3606,0.0478,57.375
71,black|red,2,1,black,2,0,2,0,15.84,8.01,0.3695,0.1631,52.755
71,brown,1,1,,2,2,0,0,20.75,2.82,0.4692,0.0425,40.705
71,gray|white,2,0,gray|white,2,2,0,0,15.49,2.9,0.2117,0.0031,53.88
71,black|blue|white,3,1,black|white,2,1,1,0,9.58,0.73,0.2704,0.0478,41.84
71,black|blue,2,1,black,2,2,0,0,16.685,9.625,0.4224,0.1105,50.68
71,gray|red|yellow,3,2,gray,2,1,1,0,16.675,0.155,0.311,0.0034,58.66
71,black|blue|gray,3,1,black|gray,2,2,0,0,9.78,3.87,0.2706,0.0409,43.325
71,cyan|gray|white,3,1,gray|white,2,0,2,0,14.335,0.415,0.2501,0.0004,47.0
71,brown|orange|pink,3,3,,2,2,0,0,17.715,0.485,0.307,0.0116,44.745
71,blue|brown,2,2,,2,0,1,1,14.19,0.88,0.4192,0.0187,34.165
71,blue|brown|red,3,3,,2,2,0,0,16.19,2.84,0.468,0.0394,55.005
71,blue|orange|yellow,3,3,,2,0,2,0,23.825,4.735,0.3312,0.0179,59.875
71,black|green|yellow,3,2,black,2,2,0,0,27.38,0.17,0.4151,0.0103,102.335
71,green|orange|white,3,2,white,2,0,1,1,13.605,1.365,0.2016,0.0057,40.665
71,yellow,1,1,,2,1,1,0,27.09,3.91,0.3377,0.06,44.98
71,brown|gray|green,3,2,gray,2,1,1,0,11.69,0.86,0.2675,0.0071,37.365
71,cyan|white|yellow,3,2,white,2,2,0,0,15.72,1.96,0.3124,0.0451,48.75
71,gray|green|orange,3,2,gray,2,1,1,0,11.59,0.98,0.1966,0.0059,48.16
71,gray|pink|red,3,2,gray,2,2,0,0,18.64,1.6,0.2897,0.0134,53.55
71,blue|yellow,2,2,,2,1,0,1,20.505,3.405,0.4214,0.0696,57.105
72,gray|red|white,3,1,gray|white,2,2,0,0,14.41,0.0,0.1962,0.0,71.68
72,red|white,2,1,white,2,2,0,0,41.66,0.0,0.4985,0.0,129.59
72,gray|orange|red,3,2,gray,2,2,0,0,21.2,4.28,0.2892,0.0335,73.2
72,black|red|yellow,3,2,black,2,2,0,0,31.335,1.785,0.4634,0.0189,97.44
72,brown|orange|red,3,3,,2,2,0,0,36.115,5.665,0.5735,0.012,91.53
72,black|gray|red,3,1,black|gray,2,1,1,0,22.08,3.21,0.3197,0.0451,82.315
72,gray|green|red,3,2,gray,2,1,1,0,28.915,0.455,0.532,0.0328,82.365
73,brown|gray|white,3,1,gray|white,2,0,2,0,15.845,0.695,0.3436,0.0166,46.155
73,black|red,2,1,black,2,2,0,0,9.815,0.865,0.2571,0.019,47.035
73,black|gray|orange,3,1,black|gray,2,2,0,0,9.94,0.36,0.2304,0.0039,48.47
73,black|brown|red,3,2,black,2,1,1,0,10.055,0.475,0.2766,0.015,43.76
